# Graph Type: undirected
BMPR1A	FKBP1B
SMAD7	LEF1
MLH1	MRE11
SRC	PELP1
MRE11	MSH6
AR	PELP1
BCR	PIK3CG
GADD45G	PPARA
GADD45G	PPARD
GADD45G	PPARG
GADD45G	RARA
RARA	GADD45A
RFC1	MRE11
GADD45G	RXRA
SRC	NCOA6
TBP	GTF2H4
GTF2B	GTF2H4
POLR2A	GTF2H4
MED21	GTF2H4
BTAF1	GTF2H4
GTF2E1	GTF2H4
GTF2F1	GTF2H4
ACTA1	TRIP6
ZNF350	RNF11
ATG16L1	IKBKG
MAP3K8	TNIP2
ELAVL4	NXF1
ABLIM3	ACTC1
MAP2K1	PEBP4
RAF1	PEBP4
HDAC3	RUNX2
RET	DOK6
RET	DOK5
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
DNM1	FNBP1
TF	FNBP1
SELL	EMCN
TGFB1	VASN
TGFB2	VASN
ERCC3	GTF2H4
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
BTK	ARID3A
RAC1	CDC42BPG
CDC42	CDC42BPG
RHOQ	CDC42BPG
MYB	PML
PLXNA1	PLXNA1
AP2M1	EHD2
EHD2	AP1M2
MED6	MED10
MED6	MED9
MED6	MED29
MED19	MED6
MED6	MED28
MED6	MED26
SMC4	DNMT3B
SIN3A	DNMT3B
HDAC1	DNMT3B
SMARCA5	DNMT3B
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
TNNI3	TNNC1
SORBS2	CBL
SORBS2	PTK2B
CBL	CD2AP
FLOT1	SORBS2
ITGA7	FHL2
FHL3	ITGA7
TLR2	MYD88
TLR4	MYD88
MYD88	TLR9
ACTA1	PHACTR1
PPP1CA	PHACTR1
PPP1CA	ACTA1
NLRC4	NLRC4
NOD2	NLRC4
XK	NLRC4
NLRC4	NOD1
NAIP	NLRC4
CASP1	NLRC4
CASP1	NOD2
CASP1	XK
NOS1	ZDHHC23
MRE11	TERF2IP
SLC5A1	PAWR
CRADD	PIDD1
CASP2	PIDD1
RHOA	ARHGEF25
RIPK1	TICAM1
TICAM1	RIPK3
ACTA1	MLPH
PPARG	DNTTIP2
DNTTIP2	ESR2
TNFRSF10B	TIMM50
AR	SART3
RAC2	DEF6
RAC1	DEF6
RHOA	DEF6
CDC42	DEF6
BMP2	SOSTDC1
BMP7	SOSTDC1
SRF	MYOCD
CXCR2	RAB11FIP2
CXCR2	MYO5B
SERPINE1	LRP1
SCNN1A	STX1A
SCNN1G	STX1A
SCNN1B	STX1A
MED6	MED25
MED6	MED15
MED6	CDK8
KDR	PLXNA1
GEMIN4	AGO2
MYOCD	MRTFA
LIN7A	DLG1
LIN7A	CASK
CASK	LIN7B
NFKB1	UNC5CL
RELA	UNC5CL
FYN	TRPC6
SRC	TRPC6
SCN1B	CNTN1
DNMT3B	DNMT3A
CA2	SLC4A8
PAFAH1B3	HSPH1
HRAS	PIK3CA
SLC31A2	RAMP2
RAMP1	CALCRL
PIAS1	STAB2
FOXP2	CTBP1
FOXP2	FOXP1
FOXP2	FOXP2
FOXP2	FOXP4
PRKCZ	FEZ2
TUBA1A	STARD13
KIF1B	STARD13
HMGCR	STARD13
EPB41L1	STARD13
SMARCD3	STARD13
