# Graph Type: undirected
KCNJ4	LIN7C
DMD	KCNJ4
KCNJ4	SNTA1
RAC2	DEF6
RAC1	DEF6
RHOA	DEF6
CDC42	DEF6
ULK1	SYNGAP1
ULK2	SYNGAP1
LRP1	PDIA2
KDR	PLXNA1
LIN7A	KCNJ4
LIN7A	DLG1
APBA1	DLG1
LIN7A	CASK
CASK	LIN7B
APBA1	LIN7B
APBA1	LIN7C
NFKB1	UNC5CL
RELA	UNC5CL
SCN1B	CNTN1
CD4	UNC119
FYN	UNC119
CA2	SLC4A8
ERC2	BSN
ERC2	RIMS1
ERC2	UNC13A
RIMS1	BSN
BSN	UNC13A
RAB3A	BSN
ERC2	PCLO
PAFAH1B3	HSPH1
RAF1	RASD2
HRAS	PIK3CA
PIK3CA	RASD2
JAKMIP1	GABBR1
FOXP2	CTBP1
FOXP2	FOXP1
FOXP2	FOXP2
FOXP2	FOXP4
SIM2	ARNT2
CLOCK	ARNTL2
PRKCZ	FEZ2
TUBA1A	STARD13
KIF1B	STARD13
HMGCR	STARD13
EPB41L1	STARD13
SMARCD3	STARD13
TAX1BP1	STARD13
HSP90AA1	STARD13
ITPR1	STARD13
ADGRB2	STARD13
ITPR1	CABP1
DLX1	SMAD4
ACTA1	KLHL20
DMAP1	ING1
PPM1A	GRM3
RNF128	OTUB1
USP8	RNF128
ABCC8	RAPGEF4
RAPGEF4	RIMS2
MSH3	MSH2
MSH2	ATR
BCAR1	SRCIN1
CRK	SRCIN1
KAT2B	NPAS2
AKAP8	CCND1
PHB	E2F1
HAND1	PPP2R5D
HAND1	PRKCA
HAND1	PRKACA
MED1	PPARGC1A
PPARGC1A	MED16
MED17	PPARGC1A
MED21	PPARGC1A
MED12	PPARGC1A
MED14	PPARGC1A
MED20	PPARGC1A
RGS4	GNAQ
PFDN1	ACTA1
CDH2	CTNNA1
CDH2	CTNNB1
JUP	CDH2
CDH2	CDH11
PARP1	ZNF423
TRPC1	GRM1
CRY2	TIMELESS
NCS1	PI4KB
OXT	TXNDC17
AVP	TXNDC17
AVP	KMT2A
OXT	KMT2A
RAD17	RFC2
DTNB	KIF5B
