# Graph Type: undirected
ERBB3	SHC1
ACAN	LUM
NSL1	DSN1
KNL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
STAT3	EPHA5
MTOR	RPTOR
FKBP1A	RPTOR
MMP14	LUM
MBD3L1	MBD2
HDAC1	MBD3L1
MBD3L1	HDAC2
RBBP7	MBD3L1
RBBP4	MBD3L1
MTA1	MBD3L1
MBD3L1	SIN3A
CHD3	MBD3L1
GIPC1	MYO6
EIF4G1	EIF4A2
CUL1	FBXO4
LIG4	PNKP
TUSC2	HSPA4L
MAGEB2	USP7
GSK3B	GEMIN4
GEMIN4	RNPS1
VARS1	EEF1A2
EIF3A	EIF4A2
CD2BP2	DDX23
YWHAB	RAI14
EEF1D	EEF1A2
P4HB	EIF4A2
ARPC2	ACTR3B
WDCP	RUVBL1
EIF4A2	EIF3L
KRT85	CDC20
SMYD2	EPB41L3
STK16	CNTF
ARPC1A	ACTR3B
YWHAG	EPB41L3
EIF2D	RAD51
RAD51	CAB39
NELFCD	CCAR2
WDCP	RUVBL2
TNFAIP8	PTP4A2
RNPS1	NRDE2
PAK4	LRRK1
YWHAB	EPB41L3
CNBP	IGF2BP1
EIF3D	EIF4A2
EIF3H	EIF4A2
ACTR2	ACTR3B
SKP1	FBXO4
CAMK2B	CAMK2A
CAMK2D	CAMK2A
AKTIP	HOOK1
PTP4A2	CNNM4
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
EPPK1	TRAF6
CCNA1	CCAR2
PMVK	CENPH
RAB11A	RAB11FIP1
KRT85	TWF2
CHAF1B	ASF1B
CNTF	ICA1
FNTB	PTP4A2
RPRM	FBXW11
EPPK1	ARF6
ARPC4	ACTR3B
MYO1B	EIF4A2
EIF4A2	EIF3M
ARPC1B	ACTR3B
MAGEB2	RPL23A
NUP93	PHLDA3
YWHAZ	EPB41L3
PABPC1	EIF4A2
KRT85	LYAR
YWHAB	KIF23
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
EIF4A2	EIF3K
EIF4G3	EIF4A2
HSPA4L	KRT8
EPPK1	TSC22D1
FABP4	OSTF1
PTP4A3	NCAPG
CD2BP2	USP39
GIPC1	GEMIN4
DHX57	LYAR
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
MAGEB2	RPS19
DDX3X	EIF4A2
YWHAQ	EPB41L3
TGFB1I1	CCNA1
EIF4G2	EIF4A2
S100A8	LRRK1
MAGEB2	RPL31
CCAR2	NEK6
HSPA4L	TCEAL1
RAD51	TIMM13
CNTF	EXT1
IGF2BP1	PUF60
ARRB1	BOP1
KRT85	PLEKHB2
BRIX1	LYAR
MYH7	NTHL1
PFAS	VHL
YWHAG	SHCBP1
EIF4E	EIF4A2
BAG2	MLF2
MEN1	RPRM
NUDT1	NTHL1
ZNRD2	QRICH2
ZNRD2	RUVBL2
LRRK1	RIMS1
MAGEB2	RPS14
GIPC1	NUP93
DEGS1	PYGM
MAGEB2	RPS16
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
TUSC2	EBLN2
YWHAQ	UNC79
TPM3	MCC
XRCC4	PNKP
CDK4	ACTR3B
PKIG	KPTN
ILK	FANCI
CHMP6	RAB17
RAD51D	RADIL
YWHAQ	RAI14
CHMP5	CAMK2A
FBLN1	MPG
ARPC5L	ACTR3B
CDC20	KRT32
IQGAP2	UBAC1
CD2BP2	EIF4A2
ICA1	MKKS
GEMIN4	ILK
UBAC1	MYH2
CIAO1	CCAR2
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
CNTF	VHL
CDC20	CCDC59
FANCC	EBLN2
TUSC2	SGO2
BIRC5	USF2
BAG2	PSMC4
COPG2	MAGED1
IGF2BP3	PUF60
PES1	ARRB1
ATIC	RADIL
MED7	BARHL1
HTR1B	GSTK1
PTP4A3	POLD1
DGKE	NUDC
FSCN1	GNAS
PFAS	TFE3
FKBP4	LOXHD1
PUF60	IGF2BP2
AURKA	RAB10
AP1S1	EBLN2
ARPC3	ACTR3B
PTP4A3	SMC2
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
SNRPB	GEMIN4
PRKRA	IGF2BP1
E2F7	RUVBL1
IGF2BP3	CNBP
ARPC5	ACTR3B
BCAR3	TARS1
NUP93	PNKP
UNC79	SAE1
TRIP6	AFAP1L1
VHL	FSCN1
NUAK1	KRT77
DGKE	SET
MAD2L1	DSTYK
