# Graph Type: undirected
CDH3	CTNNA1
CDH3	CTNNB1
FANCG	CYP2E1
SPTBN1	EPB41L3
TP53BP1	DCLRE1A
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
FANCD2	FANCE
BMPR1A	FKBP1B
AR	GRIP1
JUP	CDH3
SMAD7	LEF1
MLH1	MRE11
MLH1	MSH2
SRC	PELP1
MSH2	MRE11
NBN	MSH2
MSH2	RAD50
MSH3	BARD1
MSH6	BARD1
MRE11	MSH6
MSH2	MSH6
TP73	MDM2
AR	PELP1
BCR	PIK3CG
RARA	GADD45A
RFC1	MRE11
RFC1	MSH2
SRC	NCOA6
TBP	GTF2H4
GTF2B	GTF2H4
POLR2A	GTF2H4
MED21	GTF2H4
BTAF1	GTF2H4
GTF2E1	GTF2H4
GTF2F1	GTF2H4
UBE3A	BARD1
ZNF350	RNF11
ATG16L1	IKBKG
MAP3K8	TNIP2
ABLIM3	ACTC1
USP8	RNF41
RNF41	BIRC6
HDAC3	RUNX2
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
PRKCZ	ECT2
PARD3	ECT2
DNM1	FNBP1
EGF	FNBP1
TF	FNBP1
SELL	EMCN
TGFB1	VASN
TGFB2	VASN
ERCC3	GTF2H4
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
MYB	PML
