# Graph Type: undirected
A	B
LETM1	COX15
LRPPRC	COX15
MDH2	COX15
MRPL12	COX15
COX15	MRPL21
COX15	MRPL27
COX15	MRPL37
COX15	MRPL39
COX15	MRPL4
COX15	MRPL41
COX15	MRPL44
MRPS10	COX15
COX15	MRPS16
COX15	MRPS17
COX15	MRPS18B
COX15	MRPS2
MRPS22	COX15
COX15	MRPS23
MRPS25	COX15
COX15	MRPS26
COX15	MRPS27
COX15	MRPS28
COX15	MRPS31
MRPS34	COX15
MRPS36	COX15
MRPS5	COX15
MRPS6	COX15
COX15	MRPS7
MRPS9	COX15
COX15	MRS2
MTX2	COX15
NDUFA2	COX15
NDUFA6	COX15
NDUFA7	COX15
NDUFA8	COX15
COX15	NDUFAF2
COX15	NDUFAF3
COX15	NDUFAF4
NDUFS2	COX15
NDUFS7	COX15
NDUFV1	COX15
NDUFV2	COX15
NDUFV3	COX15
NNT	COX15
COX15	OCIAD1
OGDH	COX15
OXA1L	COX15
COX15	PAM16
PEX19	COX15
PHB	COX15
COX15	PHB2
COX15	PTCD3
COX15	PYCR2
COX15	SAMM50
SHMT2	COX15
COX15	SLC25A40
SLC30A9	COX15
COX15	TACO1
COX15	TIMM13
TIMM44	COX15
COX15	TIMMDC1
VARS2	COX15
ACAT1	CRYZ
CRYZ	AFG3L2
CRYZ	ATP5IF1
ATP5PB	CRYZ
ATP5PF	CRYZ
CRYZ	ATPAF1
CRYZ	BCS1L
CRYZ	C17orf80
DAP3	CRYZ
DLAT	CRYZ
DLST	CRYZ
DNAJA2	CRYZ
ECHS1	CRYZ
CRYZ	ELAC2
GLS	CRYZ
CRYZ	HINT2
CRYZ	IARS2
CRYZ	LARS2
LETM1	CRYZ
LRPPRC	CRYZ
CRYZ	MRPL43
MRPS10	CRYZ
MRPS14	CRYZ
CRYZ	MRPS16
CRYZ	MRPS17
CRYZ	MRPS18B
CRYZ	MRPS2
MRPS22	CRYZ
CRYZ	MRPS23
MRPS25	CRYZ
CRYZ	MRPS26
CRYZ	MRPS27
CRYZ	MRPS28
CRYZ	MRPS31
CRYZ	MRPS33
MRPS34	CRYZ
MRPS35	CRYZ
MRPS36	CRYZ
MRPS5	CRYZ
MRPS6	CRYZ
CRYZ	MRPS7
MRPS9	CRYZ
CRYZ	MTG2
MTIF2	CRYZ
CRYZ	NDUFA12
CRYZ	NDUFA5
NDUFA6	CRYZ
CRYZ	NDUFA9
CRYZ	NDUFAF4
NDUFS1	CRYZ
NDUFS2	CRYZ
NDUFS3	CRYZ
NDUFS4	CRYZ
NDUFS6	CRYZ
NDUFS7	CRYZ
NDUFV1	CRYZ
NDUFV2	CRYZ
NDUFV3	CRYZ
CRYZ	NFS1
NME4	CRYZ
NUDT19	CRYZ
OGDH	CRYZ
PCNT	CRYZ
PDHA1	CRYZ
CRYZ	PDPR
PPIF	CRYZ
CRYZ	PTCD3
PYCR1	CRYZ
CRYZ	PYCR2
SHMT2	CRYZ
CRYZ	SUGT1
CRYZ	TACO1
TIMM44	CRYZ
CRYZ	USP47
CRYZ	VARS2
CS	ABHD10
CS	ACADM
CS	ACADVL
CS	ACAT1
CS	AFG3L2
CS	AK3
CS	ALAS1
CS	ANGEL2
CS	ATAD3A
CS	ATP5F1B
CS	ATP5F1D
CS	ATP5IF1
CS	ATP5PB
CS	ATP5PD
CS	ATP5PF
CS	ATP5PO
CS	ATPAF1
CS	BCS1L
CS	C17orf80
CS	CARS2
CS	CLPP
CS	CLPX
CS	COQ5
CS	COX4I1
CS	COX5A
CS	DAP3
CS	DBT
CS	DHTKD1
CS	DLST
CS	ECI2
CS	ECSIT
CS	ELAC2
CS	ERAL1
CS	ETFA
CS	ETFB
CS	FASTKD2
CS	FASTKD5
CS	FECH
CS	GFM1
CS	GLS
CS	GLUD1
CS	GRPEL1
CS	GSTK1
GTPBP10	CS
CS	GTPBP3
CS	HADH
CS	HADHA
CS	HINT2
CS	HNRNPAB
HNRNPDL	CS
CS	HNRNPL
CS	HSDL2
CS	IARS2
CS	IVD
CS	LARS2
CS	LETM1
CS	LRPPRC
CS	LYPLAL1
CS	LYRM4
CS	LYRM7
CS	MDH2
CS	ME2
CS	MGME1
CS	MMUT
CS	MRM3
CS	MRPL1
CS	MRPL10
CS	MRPL12
CS	MRPL13
CS	MRPL14
CS	MRPL15
CS	MRPL17
CS	MRPL18
CS	MRPL19
CS	MRPL2
CS	MRPL20
CS	MRPL21
CS	MRPL22
CS	MRPL23
CS	MRPL24
CS	MRPL27
CS	MRPL28
CS	MRPL3
CS	MRPL30
CS	MRPL37
CS	MRPL38
CS	MRPL39
CS	MRPL4
CS	MRPL40
CS	MRPL42
CS	MRPL43
CS	MRPL44
CS	MRPL45
CS	MRPL46
CS	MRPL47
CS	MRPL48
CS	MRPL49
CS	MRPL50
CS	MRPL52
CS	MRPL55
CS	MRPL58
CS	MRPL9
CS	MRPS10
MRPS14	CS
CS	MRPS16
CS	MRPS17
CS	MRPS18A
CS	MRPS18B
CS	MRPS18C
CS	MRPS2
CS	MRPS22
CS	MRPS23
CS	MRPS25
CS	MRPS26
CS	MRPS27
CS	MRPS28
CS	MRPS30
CS	MRPS31
CS	MRPS33
CS	MRPS34
CS	MRPS35
CS	MRPS36
CS	MRPS5
CS	MRPS6
CS	MRPS7
CS	MRPS9
CS	MTERF3
CS	MTIF2
CS	MTPAP
CS	NARS2
CS	NDUFA12
NDUFA2	CS
CS	NDUFA5
CS	NDUFA6
CS	NDUFA7
CS	NDUFA9
NDUFAB1	CS
CS	NDUFAF1
CS	NDUFAF2
CS	NDUFAF3
CS	NDUFAF4
CS	NDUFAF7
CS	NDUFS1
NDUFS2	CS
CS	NDUFS3
NDUFS4	CS
NDUFS6	CS
NDUFS7	CS
CS	NDUFV1
CS	NDUFV2
CS	NDUFV3
CS	NFS1
CS	NIPSNAP1
NME4	CS
CS	NNT
CS	NOA1
CS	OGDH
CS	OXA1L
CS	PAM16
CS	PDE12
CS	PDHA1
CS	PDK1
CS	PDK3
CS	PDPR
CS	PHB
CS	PMPCA
CS	PNPLA8
CS	PNPT1
CS	POLDIP2
CS	POLG
POLRMT	CS
CS	PPA2
CS	PPIF
CS	PRDX3
CS	PREPL
CS	PTCD3
CS	PYCR1
CS	PYCR2
CS	QRSL1
CS	SHC1
CS	SLC30A9
CS	SLIRP
CS	STOML2
CS	SUCLA2
CS	SUCLG1
CS	TACO1
CS	TARS2
CS	THEM4
CS	THG1L
TIMM44	CS
CS	TRMT10C
CS	TRMT61B
CS	TRUB2
CS	UQCC1
CS	VARS2
VWA8	CS
ACAD9	DDX28
DDX28	AFG3L2
DDX28	ATP5IF1
ATP5PB	DDX28
ATPAF1	DDX28
CARS2	DDX28
DAP3	DDX28
DLST	DDX28
ECHS1	DDX28
ERAL1	DDX28
GLS	DDX28
GRSF1	DDX28
HARS2	DDX28
HNRNPDL	DDX28
HNRNPL	DDX28
LETM1	DDX28
LRPPRC	DDX28
MDH2	DDX28
MRM3	DDX28
MRPL12	DDX28
DDX28	MRPL15
MRPL20	DDX28
MRPL21	DDX28
MRPL24	DDX28
DDX28	MRPL27
MRPL28	DDX28
MRPL30	DDX28
MRPL37	DDX28
MRPL43	DDX28
MRPL44	DDX28
MRPL45	DDX28
MRPL46	DDX28
MRPL48	DDX28
MRPL49	DDX28
MRPL50	DDX28
MRPS14	DDX28
DDX28	MRPS16
DDX28	MRPS18A
DDX28	MRPS18B
DDX28	MRPS2
MRPS22	DDX28
DDX28	MRPS23
MRPS25	DDX28
MRPS26	DDX28
MRPS27	DDX28
DDX28	MRPS28
MRPS31	DDX28
DDX28	MRPS33
MRPS34	DDX28
MRPS35	DDX28
MRPS5	DDX28
MRPS6	DDX28
DDX28	MRPS7
MRPS9	DDX28
MTIF2	DDX28
DDX28	NDUFA12
NDUFA2	DDX28
NDUFA5	DDX28
NDUFA6	DDX28
NDUFA7	DDX28
NDUFA9	DDX28
NDUFS1	DDX28
NDUFS2	DDX28
NDUFS3	DDX28
NDUFS4	DDX28
NDUFS6	DDX28
NDUFS7	DDX28
NDUFV1	DDX28
NDUFV2	DDX28
NDUFV3	DDX28
DDX28	NFS1
NIFK	DDX28
NIPSNAP1	DDX28
NME4	DDX28
OGDH	DDX28
PNPT1	DDX28
POLRMT	DDX28
PTCD3	DDX28
PYCR1	DDX28
PYCR2	DDX28
SHMT2	DDX28
SLIRP	DDX28
SUPV3L1	DDX28
TACO1	DDX28
TDRD3	DDX28
TIMM44	DDX28
TRMT10C	DDX28
UPF1	DDX28
USP30	DDX28
VWA8	DDX28
DHX30	AFG3L2
ATPAF1	DHX30
DHX30	CARS2
DAP3	DHX30
DLST	DHX30
ERAL1	DHX30
ETFA	DHX30
DHX30	FASTKD2
GLS	DHX30
HARS2	DHX30
DHX30	HNRNPAB
HNRNPDL	DHX30
HNRNPL	DHX30
DHX30	IARS2
IMMT	DHX30
LRPPRC	DHX30
DHX30	MGME1
DHX30	MRM3
MRPL12	DHX30
DHX30	MRPL20
DHX30	MRPL21
MRPL28	DHX30
DHX30	MRPL37
DHX30	MRPL4
DHX30	MRPL43
DHX30	MRPL44
DHX30	MRPL45
DHX30	MRPL46
DHX30	MRPL50
MRPS10	DHX30
MRPS14	DHX30
DHX30	MRPS16
DHX30	MRPS17
DHX30	MRPS18B
DHX30	MRPS18C
DHX30	MRPS2
MRPS22	DHX30
DHX30	MRPS23
MRPS25	DHX30
DHX30	MRPS26
DHX30	MRPS27
DHX30	MRPS28
DHX30	MRPS31
DHX30	MRPS33
MRPS34	DHX30
MRPS35	DHX30
MRPS36	DHX30
MRPS5	DHX30
MRPS6	DHX30
DHX30	MRPS7
MRPS9	DHX30
DHX30	MTPAP
DHX30	NDUFA12
NDUFA5	DHX30
NDUFA6	DHX30
NDUFS1	DHX30
NDUFS2	DHX30
NDUFS3	DHX30
NDUFS4	DHX30
NDUFS6	DHX30
NDUFV1	DHX30
NDUFV2	DHX30
NDUFV3	DHX30
NME4	DHX30
OGDH	DHX30
PDK1	DHX30
PDK3	DHX30
POLRMT	DHX30
DHX30	PTCD3
PYCR1	DHX30
DHX30	PYCR2
SHMT2	DHX30
DHX30	SLIRP
DHX30	SUPV3L1
DHX30	TACO1
DHX30	TDRD3
TIMM44	DHX30
TRMT10C	DHX30
ABRAXAS2	DIABLO
ACTR2	DIABLO
ADCK2	DIABLO
DIABLO	AFG3L2
AIFM1	DIABLO
APOOL	DIABLO
DIABLO	ATAD3A
ATAD3B	DIABLO
DIABLO	ATXN10
DIABLO	CHCHD3
CHCHD4	DIABLO
COA7	DIABLO
COX15	DIABLO
COX4I1	DIABLO
COX5A	DIABLO
COX6B1	DIABLO
CPOX	DIABLO
DDOST	DIABLO
DHFR	DIABLO
DHX30	DIABLO
DLST	DIABLO
DIABLO	DNAJC11
DIABLO	EXD2
FLOT1	DIABLO
GOLGA3	DIABLO
GPD2	DIABLO
HAX1	DIABLO
HK1	DIABLO
IMMT	DIABLO
DIABLO	ITSN2
LACTB	DIABLO
LRRC49	DIABLO
MAP3K7	DIABLO
MAVS	DIABLO
MIA3	DIABLO
MICU1	DIABLO
MICU2	DIABLO
MLF2	DIABLO
DIABLO	MRPS2
MRPS31	DIABLO
MTX1	DIABLO
MTX2	DIABLO
MTX3	DIABLO
MYO19	DIABLO
NAA50	DIABLO
DIABLO	NDUFA13
NDUFA5	DIABLO
NDUFA8	DIABLO
NDUFB10	DIABLO
NDUFS1	DIABLO
NDUFS3	DIABLO
NDUFS5	DIABLO
DIABLO	OCIAD1
OPA1	DIABLO
PHB2	DIABLO
PMPCA	DIABLO
PTCD3	DIABLO
PUM2	DIABLO
RANBP6	DIABLO
DIABLO	RERE
RHOT2	DIABLO
DIABLO	SAMM50
SCO2	DIABLO
SLC25A12	DIABLO
SNAP29	DIABLO
DIABLO	STOML2
TAB1	DIABLO
DIABLO	TIMM13
DIABLO	TIMM8B
TOM1L2	DIABLO
TOMM70	DIABLO
TTC19	DIABLO
VPS52	DIABLO
YME1L1	DIABLO
DNM1L	LRRC49
DNM1L	SH3GLB2
DNM1L	THADA
EXD2	MARCHF2
ACBD5	EXD2
EXD2	AFG3L2
AKAP1	EXD2
ALDH3A2	EXD2
EXD2	ANGEL1
ATPAF1	EXD2
BCL2L13	EXD2
C9orf72	EXD2
CHMP7	EXD2
EXD2	CISD1
CLPTM1L	EXD2
DAP3	EXD2
DNM1L	EXD2
EIF4ENIF1	EXD2
FAF2	EXD2
FKBP8	EXD2
GNB1	EXD2
GOLGA3	EXD2
HK1	EXD2
HNRNPDL	EXD2
IMMT	EXD2
LARP1B	EXD2
LARP4	EXD2
LRRC49	EXD2
MAVS	EXD2
MFF	EXD2
MIGA1	EXD2
MRPL44	EXD2
EXD2	MRPS18B
EXD2	MRPS2
MRPS22	EXD2
EXD2	MRPS23
MRPS26	EXD2
MRPS27	EXD2
MRPS31	EXD2
MRPS34	EXD2
MRPS35	EXD2
MRPS5	EXD2
MRPS9	EXD2
MTFR1	EXD2
MYO19	EXD2
NBR1	EXD2
NDUFS3	EXD2
EXD2	OCIAD1
PDCL	EXD2
PEX1	EXD2
PEX14	EXD2
PEX5	EXD2
PRKACA	EXD2
PRKAR2A	EXD2
PRKAR2B	EXD2
PTCD3	EXD2
PTPN1	EXD2
RAB11B	EXD2
RANBP6	EXD2
RHOT2	EXD2
RMDN3	EXD2
SCO2	EXD2
SMCR8	EXD2
SNAP29	EXD2
STAU2	EXD2
EXD2	SYBU
TACC1	EXD2
THUMPD3	EXD2
TRIM26	EXD2
UBXN4	EXD2
UPF1	EXD2
USP30	EXD2
VPS13D	EXD2
WDR41	EXD2
ZC3HAV1	EXD2
ZCCHC3	EXD2
ZDHHC17	EXD2
ACAT1	FASTKD2
FASTKD2	AFG3L2
AIFM1	FASTKD2
ALAS1	FASTKD2
ATP5F1D	FASTKD2
ATP5PD	FASTKD2
ATP5PO	FASTKD2
ATPAF1	FASTKD2
FASTKD2	BCS1L
C17orf80	FASTKD2
CARS2	FASTKD2
DAP3	FASTKD2
DLST	FASTKD2
ECHS1	FASTKD2
EIF2AK2	FASTKD2
ELAC2	FASTKD2
ERAL1	FASTKD2
ETFA	FASTKD2
ETFB	FASTKD2
FASTKD5	FASTKD2
GLS	FASTKD2
HADH	FASTKD2
HARS2	FASTKD2
HNRNPUL1	FASTKD2
HSPD1	FASTKD2
IARS2	FASTKD2
PRORP	FASTKD2
LETM1	FASTKD2
LRPPRC	FASTKD2
MDH2	FASTKD2
ME2	FASTKD2
MRM3	FASTKD2
MRPL13	FASTKD2
FASTKD2	MRPL15
MRPL19	FASTKD2
MRPL20	FASTKD2
MRPL21	FASTKD2
MRPL22	FASTKD2
MRPL24	FASTKD2
MRPL28	FASTKD2
MRPL3	FASTKD2
MRPL38	FASTKD2
MRPL39	FASTKD2
MRPL41	FASTKD2
FASTKD2	MRPL42
MRPL43	FASTKD2
MRPL44	FASTKD2
MRPL45	FASTKD2
MRPL46	FASTKD2
MRPL48	FASTKD2
MRPL49	FASTKD2
MRPL52	FASTKD2
MRPL9	FASTKD2
MRPS10	FASTKD2
MRPS11	FASTKD2
MRPS14	FASTKD2
FASTKD2	MRPS16
FASTKD2	MRPS17
FASTKD2	MRPS18B
FASTKD2	MRPS2
MRPS22	FASTKD2
FASTKD2	MRPS23
MRPS25	FASTKD2
MRPS26	FASTKD2
MRPS27	FASTKD2
FASTKD2	MRPS28
MRPS30	FASTKD2
MRPS31	FASTKD2
FASTKD2	MRPS33
MRPS34	FASTKD2
MRPS35	FASTKD2
MRPS36	FASTKD2
MRPS5	FASTKD2
MRPS6	FASTKD2
FASTKD2	MRPS7
MRPS9	FASTKD2
MTPAP	FASTKD2
MYH10	FASTKD2
FASTKD2	NDUFA12
NDUFA2	FASTKD2
NDUFA5	FASTKD2
NDUFA6	FASTKD2
NDUFA7	FASTKD2
NDUFA9	FASTKD2
NDUFAF2	FASTKD2
FASTKD2	NDUFAF4
NDUFS1	FASTKD2
NDUFS2	FASTKD2
NDUFS3	FASTKD2
NDUFS4	FASTKD2
NDUFS6	FASTKD2
NDUFS7	FASTKD2
NDUFV1	FASTKD2
NDUFV2	FASTKD2
NDUFV3	FASTKD2
FASTKD2	NFS1
NME4	FASTKD2
OGDH	FASTKD2
PDK3	FASTKD2
PDPR	FASTKD2
PNPT1	FASTKD2
POLRMT	FASTKD2
PPIF	FASTKD2
PTCD3	FASTKD2
PYCR1	FASTKD2
PYCR2	FASTKD2
SHMT2	FASTKD2
SLIRP	FASTKD2
SUPV3L1	FASTKD2
TACO1	FASTKD2
THEM4	FASTKD2
TIMM44	FASTKD2
TRMT10C	FASTKD2
VWA8	FASTKD2
FASTKD3	ABHD10
FASTKD3	AFG3L2
FASTKD3	ATPAF1
FASTKD3	C17orf80
DAP3	FASTKD3
DBT	FASTKD3
FASTKD3	DHX30
DLST	FASTKD3
FASTKD3	ELAC2
ERAL1	FASTKD3
ETFA	FASTKD3
ETFB	FASTKD3
GRSF1	FASTKD3
HNRNPA3	FASTKD3
FASTKD3	HNRNPAB
HNRNPDL	FASTKD3
HSPD1	FASTKD3
FASTKD3	IARS2
PRORP	FASTKD3
FASTKD3	LARS2
LETM1	FASTKD3
LRPPRC	FASTKD3
MRPL12	FASTKD3
FASTKD3	MRPL15
FASTKD3	MRPL21
FASTKD3	MRPL24
MRPL28	FASTKD3
FASTKD3	MRPL37
FASTKD3	MRPL4
FASTKD3	MRPL41
FASTKD3	MRPL42
FASTKD3	MRPL43
FASTKD3	MRPL44
FASTKD3	MRPL45
FASTKD3	MRPL47
MRPL49	FASTKD3
FASTKD3	MRPL50
FASTKD3	MRPL9
MRPS10	FASTKD3
MRPS11	FASTKD3
MRPS14	FASTKD3
FASTKD3	MRPS16
FASTKD3	MRPS17
FASTKD3	MRPS18B
FASTKD3	MRPS18C
FASTKD3	MRPS2
MRPS22	FASTKD3
FASTKD3	MRPS23
MRPS25	FASTKD3
FASTKD3	MRPS26
FASTKD3	MRPS27
FASTKD3	MRPS28
FASTKD3	MRPS31
FASTKD3	MRPS33
MRPS34	FASTKD3
MRPS35	FASTKD3
MRPS36	FASTKD3
MRPS5	FASTKD3
MRPS6	FASTKD3
FASTKD3	MRPS7
MRPS9	FASTKD3
MTIF2	FASTKD3
FASTKD3	NDUFA12
NDUFA2	FASTKD3
FASTKD3	NDUFA5
NDUFA6	FASTKD3
NDUFA7	FASTKD3
FASTKD3	NDUFA9
FASTKD3	NDUFAF4
NDUFS1	FASTKD3
NDUFS2	FASTKD3
NDUFS3	FASTKD3
NDUFS6	FASTKD3
NDUFS7	FASTKD3
NDUFV1	FASTKD3
NDUFV2	FASTKD3
NDUFV3	FASTKD3
NME4	FASTKD3
OGDH	FASTKD3
FASTKD3	OXA1L
PDHA1	FASTKD3
FASTKD3	PNPT1
PPIF	FASTKD3
FASTKD3	PTCD3
PYCR1	FASTKD3
FASTKD3	PYCR2
SHMT2	FASTKD3
FASTKD3	SLIRP
FASTKD3	TACO1
TIMM44	FASTKD3
FASTKD3	TRMT10C
FASTKD3	VARS2
ACAT1	FASTKD5
FASTKD5	AFG3L2
ALAS1	FASTKD5
FASTKD5	ATAD3A
ATP5F1B	FASTKD5
ATP5F1D	FASTKD5
ATP5PB	FASTKD5
ATP5PD	FASTKD5
ATP5PF	FASTKD5
ATP5PO	FASTKD5
ATPAF1	FASTKD5
FASTKD5	BCS1L
FASTKD5	C17orf80
FASTKD5	CARS2
CLPP	FASTKD5
CLPX	FASTKD5
COQ5	FASTKD5
COX4I1	FASTKD5
DAP3	FASTKD5
DBT	FASTKD5
FASTKD5	DDX24
DHX30	FASTKD5
DLAT	FASTKD5
DLST	FASTKD5
FASTKD5	DNAJA3
ECHS1	FASTKD5
FASTKD5	ECSIT
FASTKD5	ELAC2
ERAL1	FASTKD5
ERLIN2	FASTKD5
ETFA	FASTKD5
ETFB	FASTKD5
FASTKD1	FASTKD5
GATC	FASTKD5
GLS	FASTKD5
GLUD1	FASTKD5
HADH	FASTKD5
FASTKD5	HINT2
FASTKD5	HNRNPUL1
HSDL2	FASTKD5
HSPD1	FASTKD5
HSPE1	FASTKD5
FASTKD5	IARS2
IDE	FASTKD5
IMMT	FASTKD5
IVD	FASTKD5
LARS2	FASTKD5
LETM1	FASTKD5
LONP1	FASTKD5
LRPPRC	FASTKD5
FASTKD5	LYRM4
LYRM7	FASTKD5
MDH2	FASTKD5
FASTKD5	MRM3
FASTKD5	MRPL1
MRPL12	FASTKD5
FASTKD5	MRPL13
MRPL14	FASTKD5
FASTKD5	MRPL15
MRPL19	FASTKD5
FASTKD5	MRPL20
FASTKD5	MRPL21
FASTKD5	MRPL24
MRPL28	FASTKD5
FASTKD5	MRPL37
FASTKD5	MRPL39
FASTKD5	MRPL4
FASTKD5	MRPL40
FASTKD5	MRPL41
FASTKD5	MRPL42
FASTKD5	MRPL43
FASTKD5	MRPL44
FASTKD5	MRPL45
FASTKD5	MRPL47
FASTKD5	MRPL48
MRPL49	FASTKD5
FASTKD5	MRPL50
MRPL58	FASTKD5
FASTKD5	MRPL9
MRPS10	FASTKD5
MRPS11	FASTKD5
MRPS14	FASTKD5
FASTKD5	MRPS16
FASTKD5	MRPS17
FASTKD5	MRPS18A
FASTKD5	MRPS18B
FASTKD5	MRPS18C
FASTKD5	MRPS2
MRPS21	FASTKD5
MRPS22	FASTKD5
FASTKD5	MRPS23
MRPS25	FASTKD5
FASTKD5	MRPS26
FASTKD5	MRPS27
FASTKD5	MRPS28
FASTKD5	MRPS30
FASTKD5	MRPS31
FASTKD5	MRPS33
MRPS34	FASTKD5
MRPS35	FASTKD5
MRPS36	FASTKD5
MRPS5	FASTKD5
MRPS6	FASTKD5
FASTKD5	MRPS7
MRPS9	FASTKD5
FASTKD5	MTERF3
MTIF2	FASTKD5
FASTKD5	MTPAP
FASTKD5	NDUFA12
NDUFA2	FASTKD5
NDUFA5	FASTKD5
NDUFA6	FASTKD5
NDUFA7	FASTKD5
NDUFA9	FASTKD5
FASTKD5	NDUFAF1
FASTKD5	NDUFAF2
FASTKD5	NDUFAF3
FASTKD5	NDUFAF4
NDUFAF5	FASTKD5
NDUFS1	FASTKD5
NDUFS2	FASTKD5
NDUFS3	FASTKD5
NDUFS4	FASTKD5
NDUFS6	FASTKD5
NDUFS7	FASTKD5
NDUFV1	FASTKD5
NDUFV2	FASTKD5
NDUFV3	FASTKD5
FASTKD5	NFS1
FASTKD5	NIPSNAP1
NME4	FASTKD5
NNT	FASTKD5
NUDT19	FASTKD5
OGDH	FASTKD5
FASTKD5	PAM16
PDHA1	FASTKD5
PDHB	FASTKD5
PDK1	FASTKD5
PDK3	FASTKD5
FASTKD5	PDPR
PHB	FASTKD5
FASTKD5	PNPT1
FASTKD5	POLDIP2
POLG	FASTKD5
POLRMT	FASTKD5
FASTKD5	PPA2
PPIF	FASTKD5
FASTKD5	PTCD3
PYCR1	FASTKD5
FASTKD5	PYCR2
FASTKD5	QRSL1
SHMT2	FASTKD5
SLC30A9	FASTKD5
FASTKD5	SLIRP
FASTKD5	STOML2
FASTKD5	SUCLA2
FASTKD5	SUPV3L1
FASTKD5	TACO1
THEM4	FASTKD5
TIMM44	FASTKD5
FASTKD5	TIMMDC1
TRAP1	FASTKD5
TRMT10C	FASTKD5
FASTKD5	UBAC2
FASTKD5	UQCC1
VARS2	FASTKD5
VWA8	FASTKD5
MARCHF2	FIS1
ABCD3	FIS1
ACBD3	FIS1
ACBD5	FIS1
FIS1	AFG3L2
AKAP1	FIS1
ALDH3A2	FIS1
ANKLE2	FIS1
ARHGAP1	FIS1
ARMC10	FIS1
ARMCX3	FIS1
ATAD1	FIS1
ATP5F1B	FIS1
ATP5PF	FIS1
ATP6AP1	FIS1
ATP6AP2	FIS1
ATPAF1	FIS1
BAG6	FIS1
BCL2L13	FIS1
C9orf72	FIS1
CCDC47	FIS1
CHMP7	FIS1
CISD1	FIS1
CLCC1	FIS1
CYB5B	FIS1
DDRGK1	FIS1
DNAJC11	FIS1
EHBP1	FIS1
EIF4ENIF1	FIS1
EMC1	FIS1
EMC2	FIS1
EMC3	FIS1
ESYT1	FIS1
EXD2	FIS1
FAF2	FIS1
FKBP8	FIS1
FLOT2	FIS1
GPAM	FIS1
HK1	FIS1
IMMT	FIS1
INF2	FIS1
KTN1	FIS1
LEMD3	FIS1
LMAN1	FIS1
LSG1	FIS1
MAVS	FIS1
MFF	FIS1
MIGA1	FIS1
MLX	FIS1
MTFR1	FIS1
MTMR3	FIS1
MTX2	FIS1
MTX3	FIS1
MYO19	FIS1
NBAS	FIS1
NIPSNAP1	FIS1
OCIAD1	FIS1
PDCL	FIS1
PDZD8	FIS1
PEX1	FIS1
PEX19	FIS1
PEX3	FIS1
PRKACA	FIS1
PRKAR2A	FIS1
PRKAR2B	FIS1
PRKCH	FIS1
PTPN1	FIS1
RAB3GAP1	FIS1
RAB7A	FIS1
RANBP6	FIS1
RHOT2	FIS1
RMDN3	FIS1
RNF213	FIS1
FIS1	SAMM50
SEC22B	FIS1
SENP2	FIS1
SLC25A46	FIS1
SMCR8	FIS1
SOAT1	FIS1
SQSTM1	FIS1
STIM1	FIS1
SYAP1	FIS1
TACC1	FIS1
TBC1D17	FIS1
TEX2	FIS1
TOMM70	FIS1
TTC1	FIS1
UBXN4	FIS1
USP30	FIS1
VAMP3	FIS1
VAPB	FIS1
VIPAS39	FIS1
VMA21	FIS1
VPS13A	FIS1
VPS13D	FIS1
VRK2	FIS1
WDR41	FIS1
YME1L1	FIS1
ZC3HAV1	FIS1
FKBP8	MARCHF2
FKBP8	AAAS
ABCD3	FKBP8
FKBP8	ACBD3
FKBP8	ACBD5
ACSL3	FKBP8
ADCY9	FKBP8
FKBP8	AFG3L2
FKBP8	AKAP1
ALDH3A2	FKBP8
FKBP8	ANKLE2
APBB1	FKBP8
FKBP8	ARFGAP3
FKBP8	ARMC10
ATF6	FKBP8
FKBP8	ATP6AP1
FKBP8	ATP6V1F
FKBP8	ATPAF1
FKBP8	AUP1
BASP1	FKBP8
BCAP31	FKBP8
FKBP8	BCL2L13
FKBP8	C9orf72
CAMLG	FKBP8
FKBP8	CCDC115
FKBP8	CCDC47
FKBP8	CDK5RAP3
FKBP8	CHMP2B
FKBP8	CHMP7
FKBP8	CISD1
FKBP8	CISD2
CKAP4	FKBP8
FKBP8	CLCC1
COPA	FKBP8
FKBP8	CRYBG3
CSNK1E	FKBP8
DDOST	FKBP8
FKBP8	DDRGK1
FKBP8	DIP2B
DNM1L	FKBP8
FKBP8	EHBP1
FKBP8	EIF2AK3
FKBP8	ELAC2
FKBP8	EMC2
FKBP8	EMC3
FKBP8	EMC4
EMC8	FKBP8
EMD	FKBP8
FKBP8	ESPL1
FKBP8	ESYT1
ESYT2	FKBP8
FKBP8	FAF2
FKBP8	FNDC3A
GNB1	FKBP8
GOLGA3	FKBP8
FKBP8	GRAMD1A
HK1	FKBP8
FKBP8	IMMT
FKBP8	INF2
FKBP8	ITPR2
ITPRID2	FKBP8
FKBP8	KTN1
FKBP8	LARP4
FKBP8	LBR
FKBP8	LEMD3
LMAN1	FKBP8
FKBP8	LRRC49
FKBP8	LRRC59
FKBP8	LSG1
FKBP8	MAGT1
FKBP8	MFF
MFN2	FKBP8
FKBP8	MIA3
FKBP8	MIGA1
FKBP8	MLX
FKBP8	MMGT1
FKBP8	MOSPD2
FKBP8	MTDH
FKBP8	MTFR1
MXRA7	FKBP8
FKBP8	MYO19
FKBP8	NAV1
NBAS	FKBP8
FKBP8	NDC1
NUP107	FKBP8
FKBP8	NUP133
NUP160	FKBP8
FKBP8	OCIAD1
FKBP8	OSBPL11
FKBP8	OSBPL8
FKBP8	PANK4
PDE3B	FKBP8
FKBP8	PDZD8
PEX14	FKBP8
PEX5	FKBP8
