# Graph Type: undirected
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
CNTF	EIF3E
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
CASP4	SMC1A
MAGEB2	RPS9
NUAK1	S100A9
CIAO1	MCM5
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RAI14
MAGEB2	LXN
AP2S1	PAK5
ASAP2	TBRG4
PES1	ARRB2
SIRT2	KRT78
EIF6	RRP15
ELL	SIRT2
HNF4A	PABPC4
PSTPIP1	RPL34
CEP162	LXN
ATG12	ATG16L1
CDK2	CASP4
PSTPIP1	RPL37A
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
YWHAG	BAIAP2
CCDC59	PAK5
PSMB1	CASP4
MCC	CCNA1
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
ITFG2	KPTN
RUNX3	PHB2
CDK2	CDK15
FANCI	GSTK1
MYO1D	PELO
ARRB2	RAB5C
MAGEB2	RPL28
TRIM28	TNFRSF10D
RGS20	TXLNA
CFLAR	DOK2
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
NTHL1	MRM3
YWHAB	CGN
CASP4	MSH6
PSPH	PRPSAP1
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
RGS20	RUVBL2
EPPK1	PHB2
PSPH	STYXL1
RGS20	TRMT112
RGS20	FAF2
PPM1A	LXN
RGS20	SET
PSPH	ASF1B
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
KHK	RANBP3
SNCG	MCM3
CORO1A	UBE2G2
RASGRF2	EPPK1
CIRBP	LXN
PFAS	EPB41
SNCG	FUBP1
CASP4	USP9X
CLASP2	LXN
PTP4A3	GTF2I
YWHAG	CGN
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TNF	TNFRSF1B
POLQ	AP2S1
GEMIN4	BRF2
BRF2	FANCI
UFL1	CASP4
CASP4	VDAC3
DLG3	CAMK2A
KRT31	DLG3
KRT35	DLG3
KRT85	DLG3
SNCG	EXT2
CNTF	EXT2
FABP4	EXT2
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
PSTPIP1	DDX21
AR	HNF4A
FANCC	FANCE
BRCA2	HMG20B
AR	AKT1
BRCA2	EMSY
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
H2AX	BARD1
UBE2D1	BARD1
RELA	BARD1
MSH2	BARD1
BCL2	BAX
BCL2	SERPINB8
AR	CTNNB1
BAX	BCL2L1
MYC	NMI
MSH2	BLM
FANCG	BRCA2
BUB1B	HDAC1
CDH1	HDAC1
CDH1	HDAC2
FANCA	FANCF
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
CHEK2	MSH2
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
CDH1	SRC
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
MUC1	CTNNB1
AR	STAT3
BRCA2	SEM1
BCL3	NFKB2
BCL3	RELB
BRCA2	BARD1
BARD1	BABAM2
BRCC3	BARD1
BRCA2	BABAM2
BRCC3	BRCA2
SP1	AR
EWSR1	BARD1
CDH1	VCL
SRC	BCAR1
TNFRSF10B	FASLG
TNFRSF10B	CASP8
FADD	CASP8
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	FASLG
TNFRSF1A	CASP8
CDH1	ITGAE
AR	GSK3B
MUC1	GSK3B
GSN	AR
SMAD7	BMPR1A
LYN	MUC1
CSTF2	BARD1
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
TP53	BARD1
TP53	BRCA2
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
BRCA2	BCCIP
BRCA2	KAT2B
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	FOXA1
BRCA2	SMAD2
BRCA2	SMAD3
AR	RNF14
ERBB2	MUC1
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
MARK3	RASGRF1
MYC	BCL2
BUB1B	BRCA2
ABL1	BCAR1
VDAC1	BAX
CDH1	GNA13
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	BCAR1
SFN	CGN
SFN	DTX2
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	OSBPL3
PPP1R3D	SFN
SFN	RHPN2
SFN	SHROOM3
WEE1	SFN
FANCA	FANCC
FLNA	BRCA2
JUP	MUC1
AR	PTEN
BCL3	N4BP2
RB1	AR
BMP2	BMPR1A
CDH1	CDH1
CDH1	CDH3
AR	ZMIZ1
UBE2D2	BARD1
BRCA2	ATR
ATM	EIF4EBP1
POLD1	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
BRCA2	ATM
YWHAB	RASGRF1
ETV6	ACTA1
CDH2	ACTA1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
FANCA	ATP5F1B
BARD1	BARD1
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
HRAS	RASGRF1
CDH3	CDH3
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
SIAH2	RBBP8
CDH3	CTNNA1
CDH3	CTNNB1
FANCG	CYP2E1
FANCA	DAXX
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	SPTA1
FANCA	ERCC4
BRCA2	FANCE
FANCA	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
JUP	CDH3
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
FANCA	CD79A
MLH1	MSH2
SRC	PELP1
FANCA	MKNK1
NBN	MSH2
MSH3	BARD1
MSH6	BARD1
MSH2	MSH6
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
AR	PELP1
FANCA	FANCL
FANCA	DUS4L
GADD45G	PPARD
FANCA	PRPF31
FANCA	PSMA5
GADD45G	RARA
RARA	GADD45A
RFC1	MSH2
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
SRC	NCOA6
FANCA	TAF10
TBP	GTF2H4
CTNNB1	HNF4A
FANCA	CCT3
GTF2B	GTF2H4
POLR2A	GTF2H4
MED21	GTF2H4
BTAF1	GTF2H4
GTF2E1	GTF2H4
GTF2F1	GTF2H4
FANCA	TOP3A
FANCA	TPT1
ACTA1	TRIP6
UBE3A	BARD1
SPTA1	ERCC4
FANCA	ZNF24
ATG16L1	IKBKG
MAP3K8	TNIP2
ELAVL4	NXF1
ABLIM3	ACTC1
HDAC3	RUNX2
RET	DOK5
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
