# Graph Type: undirected
FAM107A	PPP2R2A
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
PSTPIP1	RPL36
RASGRP1	VHL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
PTP4A3	MSH2
CNBP	BRIX1
PSTPIP1	RPL35
YWHAQ	RASGRP3
HTR1E	PSMC4
PSTPIP1	RPL29
KHK	CDK5RAP3
MOB3B	CNKSR2
LYZ	LRRK1
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
NUP93	NEK6
AURKA	CDKN2A
TSC22D1	NUP93
CASP4	SMC1A
NUAK1	S100A9
CIAO1	MCM5
PELO	FANCI
YWHAZ	RAI14
YWHAZ	RALGPS2
PES1	ARRB2
SIRT2	KRT78
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
CDKN2C	QPCTL
PSTPIP1	RPL34
CEP162	LXN
ATG12	ATG16L1
H3C7	ASF1B
CDK2	CASP4
FBL	PASK
PSTPIP1	RPL37A
YWHAB	OSBPL3
ARRB2	RPL7L1
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
NUP98	PARP11
YWHAQ	DENND4A
PSMB1	CASP4
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
ITFG2	KPTN
RUNX3	PHB2
ATP2A3	WRAP73
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
VHL	KNTC1
ARRB2	RAB5C
AURKA	SOD2
WDR5	PASK
CFLAR	DOK2
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
MATR3	GSTK1
NTHL1	MRM3
CASP4	MSH6
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
PPM1A	LXN
SNRPA1	HNF1A
FIBP	GEMIN4
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
KHK	RANBP3
SNCG	MCM3
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
POLR1E	QPCTL
SNCG	FUBP1
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
AURKA	UBE2L3
YWHAB	RABGEF1
BRIX1	CDC42BPB
FES	PSMD13
PTP4A3	GTF2I
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
MARK2	MAP3K3
RELA	IQGAP2
TBKBP1	TBK1
TNFRSF1A	FANCD2
TNFRSF1B	FANCD2
TNF	TNFRSF1B
KCNQ1	TRAF6
POLQ	AP2S1
GEMIN4	BRF2
BRF2	FANCI
NUP93	BRF2
UFL1	CASP4
CASP4	VDAC3
KRT85	DLG3
